# [grid] anti-scatter grid transmissions -- simulation-based, not calibrated (QA-A-99, #180)
# Model: VICTRE MC-GPU v1.5b (DIDSR/VICTRE_MCGPU 30b5e66cf547), Day & Dance (1983) analytical 1-D focused grid, focal length = SDD.
#   LIMITS of that model (accepted by the lead): no scatter and no fluorescence inside the grid; strip and interspace
#   attenuation use ONE mean free path each, evaluated at one energy per row (column e_mfp_kev).
# Source: tools/mcsim at commit bc14757; generated 2026-09-17 by tools/mcsim/grid_tables.py.
# Assumptions (all of them): water slab density 1.00 g/cm^3 (waterMIF 5-150 keV), slab 60 x 60 cm; broad beam 30 x 30 cm at
#   the detector, SDD 100 cm, slab exit face to detector 2 cm (vacuum); SpekPy 2.5.4 tungsten spectrum, anode 12 deg,
#   2.5 mm Al; detector = ideal energy fluence (no CsI weighting), 6 x 6 cm central region; no table, cover or off-focus.
#   Grid: lead strips (MC-GPU Lead table, nominal density) with fibre interspace modelled as polycarbonate (MC-GPU
#   Polycarbonate table, nominal density); strip thickness 50 um at 40 /cm, 36 um at 60 /cm; height = ratio * (1/freq - strip).
#   e_mfp_kev = count-weighted mean energy of the primary spectrum at the detector for that thickness and kVp.
# Tp = primary with grid / without, Ts = scatter with grid / without (same seeds); *_sem = standard error over launches.
# The first three columns follow the [grid] section of modules/gsvg/src/virtual_grid.h; the rest are extra.
ratio,tp,ts,freq_per_cm,strip_um,thickness_cm,kvp,e_mfp_kev,height_cm,tp_sem,ts_sem,spr_nogrid,spr_grid,n_primaries
12,0.755247,0.0737146,40,50,20,80,55.3887,0.24,0.00103202,0.000256816,3.51956,0.343521,600076800
6,0.779169,0.293085,60,36,20,80,55.3887,0.0784,0.000883005,0.000385513,3.51956,1.32389,600076800
8,0.766472,0.204929,60,36,20,80,55.3887,0.104533,0.000924901,0.000372806,3.51956,0.941013,600076800
10,0.759312,0.146925,60,36,20,80,55.3887,0.130667,0.000894506,0.000404926,3.51956,0.681027,600076800
12,0.754636,0.108248,60,36,20,80,55.3887,0.1568,0.00103119,0.00034073,3.51956,0.504859,600076800
6,0.796237,0.287145,40,50,20,100,63.2655,0.12,0.00056379,0.000381858,3.46531,1.24968,600076800
8,0.780389,0.199682,40,50,20,100,63.2655,0.16,0.000741369,0.000390212,3.46531,0.886687,600076800
10,0.768067,0.142361,40,50,20,100,63.2655,0.2,0.000745566,0.000229693,3.46531,0.642294,600076800
12,0.758552,0.104749,40,50,20,100,63.2655,0.24,0.000699169,0.000340543,3.46531,0.478527,600076800
6,0.784704,0.38513,60,36,20,100,63.2655,0.0784,0.00071765,0.000292201,3.46531,1.70076,600076800
8,0.769577,0.287182,60,36,20,100,63.2655,0.104533,0.000787155,0.000490187,3.46531,1.29315,600076800
10,0.762124,0.216577,60,36,20,100,63.2655,0.130667,0.00073254,0.000427883,3.46531,0.984754,600076800
12,0.757459,0.165164,60,36,20,100,63.2655,0.1568,0.00072899,0.000343482,3.46531,0.755612,600076800
6,0.798405,0.357649,40,50,20,120,70.1688,0.12,0.000754553,0.000540358,3.37287,1.51089,600076800
8,0.781801,0.261278,40,50,20,120,70.1688,0.16,0.00062294,0.000478664,3.37287,1.12721,600076800
10,0.769629,0.193705,40,50,20,120,70.1688,0.2,0.000625401,0.000365188,3.37287,0.848903,600076800
12,0.760246,0.145583,40,50,20,120,70.1688,0.24,0.000697456,0.00036798,3.37287,0.645887,600076800
6,0.791992,0.462468,60,36,20,120,70.1688,0.0784,0.000613841,0.000704218,3.37287,1.96952,600076800
8,0.773799,0.363313,60,36,20,120,70.1688,0.104533,0.000565072,0.000697336,3.37287,1.58363,600076800
10,0.764391,0.286885,60,36,20,120,70.1688,0.130667,0.000713438,0.000469169,3.37287,1.26588,600076800
12,0.759188,0.228198,60,36,20,120,70.1688,0.1568,0.000731455,0.00039085,3.37287,1.01383,600076800
6,0.791841,0.169687,40,50,30,60,47.648,0.12,0.00285007,0.00126273,5.99408,1.28449,1200153600
8,0.776184,0.114295,40,50,30,60,47.648,0.16,0.00330264,0.00109674,5.99408,0.882646,1200153600
10,0.763457,0.0834259,40,50,30,60,47.648,0.2,0.00311859,0.00130593,5.99408,0.654996,1200153600
12,0.754222,0.0653304,40,50,30,60,47.648,0.24,0.00314356,0.00113792,5.99408,0.519205,1200153600
6,0.777534,0.22053,60,36,30,60,47.648,0.0784,0.00316657,0.0016056,5.99408,1.70009,1200153600
8,0.765934,0.149693,60,36,30,60,47.648,0.104533,0.00289791,0.00143929,5.99408,1.17147,1200153600
10,0.7588,0.105497,60,36,30,60,47.648,0.130667,0.00315514,0.00129485,5.99408,0.833367,1200153600
12,0.754493,0.0794702,60,36,30,60,47.648,0.1568,0.00310665,0.00119664,5.99408,0.631352,1200153600
6,0.795343,0.248449,40,50,30,80,58.1559,0.12,0.00293751,0.000710103,6.08779,1.9017,1200153600
8,0.779945,0.169296,40,50,30,80,58.1559,0.16,0.00300109,0.000510978,6.08779,1.32142,1200153600
10,0.768464,0.120024,40,50,30,80,58.1559,0.2,0.00275387,0.000408982,6.08779,0.950829,1200153600
12,0.758291,0.088235,40,50,30,80,58.1559,0.24,0.00266783,0.000258176,6.08779,0.708377,1200153600
6,0.782439,0.33593,60,36,30,80,58.1559,0.0784,0.00306194,0.00100682,6.08779,2.61371,1200153600
8,0.769123,0.242012,60,36,30,80,58.1559,0.104533,0.00294641,0.000612964,6.08779,1.91558,1200153600
10,0.761689,0.177747,60,36,30,80,58.1559,0.130667,0.00278096,0.000478399,6.08779,1.42064,1200153600
12,0.757597,0.133325,60,36,30,80,58.1559,0.1568,0.00270478,0.000464401,6.08779,1.07135,1200153600
6,0.796673,0.333699,40,50,30,100,66.7174,0.12,0.00204242,0.000656343,5.89363,2.46864,1200153600
8,0.78045,0.240298,40,50,30,100,66.7174,0.16,0.00193565,0.000661647,5.89363,1.81463,1200153600
10,0.768699,0.176171,40,50,30,100,66.7174,0.2,0.00173998,0.000735464,5.89363,1.35071,1200153600
12,0.758843,0.131662,40,50,30,100,66.7174,0.24,0.00173688,0.000637129,5.89363,1.02256,1200153600
6,0.788048,0.433898,60,36,30,100,66.7174,0.0784,0.00206866,0.000792905,5.89363,3.24502,1200153600
8,0.771122,0.335615,60,36,30,100,66.7174,0.104533,0.00180041,0.000811555,5.89363,2.56508,1200153600
10,0.762725,0.261377,60,36,30,100,66.7174,0.130667,0.0016712,0.000565529,5.89363,2.01968,1200153600
12,0.757721,0.20529,60,36,30,100,66.7174,0.1568,0.00173068,0.000655609,5.89363,1.59677,1200153600
6,0.800708,0.410558,40,50,30,120,74.5659,0.12,0.00142181,0.000590041,5.74228,2.94432,1200153600
8,0.783185,0.311763,40,50,30,120,74.5659,0.16,0.00161748,0.00052823,5.74228,2.28584,1200153600
10,0.770234,0.238923,40,50,30,120,74.5659,0.2,0.00179138,0.000651179,5.74228,1.78123,1200153600
12,0.761486,0.185143,40,50,30,120,74.5659,0.24,0.00190174,0.00049202,5.74228,1.39614,1200153600
6,0.79747,0.515754,60,36,30,120,74.5659,0.0784,0.00146171,0.000475576,5.74228,3.71375,1200153600
8,0.777038,0.417869,60,36,30,120,74.5659,0.104533,0.00172594,0.000504489,5.74228,3.08803,1200153600
10,0.766522,0.340325,60,36,30,120,74.5659,0.130667,0.00171966,0.000614052,5.74228,2.54949,1200153600
12,0.760873,0.278253,60,36,30,120,74.5659,0.1568,0.00187387,0.000574938,5.74228,2.09996,1200153600
