# Fit quality of wet_water_csi600.csv (QA-A-98). t in cm.
# max_abs_T_rel: max |exp(-L_fit)/exp(-L_mc) - 1|; max_abs_t_err_cm / rms_t_err_cm: thickness
#   recovered from L_mc with the fitted curve minus the true thickness;
# max_abs_L_mc_vs_analytic: max |L_mc - L_analytic| (analytic = spectrum x water table x CsI, no MC);
# max_counting_sem: largest 1/sqrt(primary photons counted) over the curve.
kvp,w0,a,b,max_abs_T_rel,max_abs_t_err_cm,rms_t_err_cm,max_abs_L_mc_vs_analytic,max_rel_L_mc_vs_analytic,max_counting_sem,mu_eff_1cm,mu_eff_tmax
60,0.320332,0.00607909,0.0672916,0.00400435,0.0166588,0.00870674,0.0126718,0.00162721,0.0056713,0.317225,0.260004
70,0.2932,0.00467562,0.0594096,0.00683829,0.0305414,0.010895,0.00670787,0.0011352,0.0043271,0.291625,0.242556
80,0.274991,0.00410444,0.059599,0.00451955,0.0209476,0.00690538,0.00555382,0.000828215,0.0035748,0.273081,0.230764
90,0.261244,0.00348084,0.0567083,0.00433882,0.0207606,0.00681264,0.00312858,0.000649149,0.00310963,0.259727,0.222564
100,0.251253,0.00298762,0.0532508,0.0027419,0.0132948,0.0059007,0.00299563,0.000574352,0.00280242,0.250178,0.216729
110,0.243533,0.00260241,0.0499952,0.00284694,0.0140905,0.00585277,0.00350617,0.000797665,0.00257792,0.242573,0.212216
120,0.23805,0.0023782,0.0480295,0.00326369,0.0165166,0.00488342,0.00415062,0.000938978,0.00241483,0.236965,0.208831
